Image Name,Conversion Factor (cm/pixel),Top Row (px),Bottom Row (px),Top Row (cm),Bottom Row (cm)
2mm btm d_speckled_pseudolabel.png,0.656141555811868,70,96,45.93,62.99
2mm top a_speckled_pseudolabel.png,0.6388274336283185,92,105,58.77,67.08
2mm top c_speckled_pseudolabel.png,0.6562500000000001,89,91,58.41,59.72
3mm btm a_speckled_pseudolabel.png,0.7218389089568057,102,106,73.63,76.51
4mm btm a_speckled_pseudolabel.png,0.7291666666666665,81,90,59.06,65.62
4mm btm b_speckled_pseudolabel.png,0.7218389089568057,81,149,58.47,107.55
4mm btm c_speckled_pseudolabel.png,0.7291294709277866,61,139,44.48,101.35
4mm top a_speckled_pseudolabel.png,0.7146926931095622,60,90,42.88,64.32
4mm top b_speckled_pseudolabel.png,0.7217306682980676,57,94,41.14,67.84
4mm top c_speckled_pseudolabel.png,0.721875,50,92,36.09,66.41
6mm btm a_speckled_pseudolabel.png,0.9374999999999999,97,121,90.94,113.44
6mm btm b_speckled_pseudolabel.png,0.9374999999999999,76,123,71.25,115.31
6mm btm c_speckled_pseudolabel.png,0.962414455850162,78,122,75.07,117.41
6mm btm d_speckled_pseudolabel.png,0.9374209494496676,91,121,85.31,113.43
6mm top a_speckled_pseudolabel.png,0.9254807692307693,39,67,36.09,62.01
6mm top b_speckled_pseudolabel.png,0.9374209494496676,34,116,31.87,108.74
6mm top c_speckled_pseudolabel.png,0.9136926248976588,36,70,32.89,63.96
6mm top d_speckled_pseudolabel.png,0.9374999999999999,35,60,32.81,56.25
8mm btm a_speckled_pseudolabel.png,0.9374209494496676,47,156,44.06,146.24
8mm btm b_speckled_pseudolabel.png,0.9254047200281896,101,150,93.47,138.81
8mm btm c_speckled_pseudolabel.png,0.9374999999999999,71,154,66.56,144.37
8mm btm d_speckled_pseudolabel.png,0.9374999999999999,41,147,38.44,137.81
8mm top a_speckled_pseudolabel.png,0.9374209494496676,21,75,19.69,70.31
8mm top b_speckled_pseudolabel.png,0.9497533143862357,23,93,21.84,88.33
8mm top c_speckled_pseudolabel.png,0.9254807692307688,21,67,19.44,62.01
8mm top d_speckled_pseudolabel.png,0.9498355263157896,21,69,19.95,65.54
