depth_mm,lateral_mm,diameter_mm
98.96,8.27,0.00
98.87,8.62,0.52
98.79,8.96,1.04
98.79,9.31,1.74
98.70,9.66,2.26
98.44,10.01,3.13
98.44,10.36,3.83
98.36,10.71,4.35
98.27,11.05,4.87
98.19,11.40,5.40
97.84,11.75,5.40
97.49,12.10,5.40
97.15,12.45,5.40
96.80,12.80,5.40
96.28,13.15,5.05
95.76,13.49,5.40
95.41,13.84,5.40
95.06,14.19,5.40
94.72,14.54,5.40
94.37,14.89,5.40
94.02,15.24,5.40
93.68,15.59,5.40
93.16,15.94,5.05
92.81,16.28,5.05
92.46,16.63,5.05
92.12,16.98,5.05
91.59,17.33,5.40
91.25,17.68,5.40
90.90,18.03,5.40
90.55,18.38,5.40
90.21,18.73,5.40
89.69,19.07,5.05
89.34,19.42,5.05
88.99,19.77,5.05
88.65,20.12,5.05
88.30,20.47,5.05
87.78,20.82,5.40
87.43,21.17,5.40
87.08,21.52,5.40
86.56,21.87,5.05
86.22,22.21,5.05
85.87,22.56,5.05
85.52,22.91,5.05
85.18,23.26,5.05
84.83,23.61,5.05
84.48,23.96,5.05
83.96,24.31,5.40
83.44,24.66,5.05
83.09,25.01,5.05
82.75,25.36,5.05
82.40,25.71,5.05
82.05,26.05,5.05
81.71,26.40,5.05
81.36,26.75,5.05
81.01,27.10,5.05
80.49,27.45,4.70
79.97,27.80,5.05
79.62,28.15,5.05
79.28,28.50,5.05
78.93,28.85,5.05
78.58,29.20,5.05
78.24,29.55,5.05
77.89,29.90,5.05
77.54,30.25,5.05
77.02,30.60,4.70
76.67,30.95,4.70
76.15,31.29,5.05
75.81,31.64,5.05
75.46,31.99,5.05
75.11,32.34,5.05
74.77,32.69,5.05
74.42,33.04,5.05
73.90,33.39,4.70
73.55,33.74,4.70
73.20,34.09,4.70
72.86,34.44,4.70
72.51,34.79,4.70
71.99,35.14,5.05
71.64,35.49,5.05
71.29,35.84,5.05
70.77,36.19,4.70
70.42,36.54,4.70
70.08,36.89,4.70
69.73,37.24,4.70
69.38,37.59,4.70
69.04,37.94,4.70
68.69,38.29,4.70
68.17,38.64,5.05
67.82,38.99,5.05
67.30,39.34,4.70
66.95,39.69,4.70
66.60,40.04,4.70
66.26,40.39,4.70
66.00,40.74,4.53
66.00,41.09,3.83
65.83,41.44,3.48
65.83,41.79,2.79
65.65,42.14,1.74
65.48,42.49,1.39
65.48,42.84,0.70
65.31,43.19,0.35
