depth_mm,lateral_mm,diameter_mm
77.70,-54.13,0.35
77.61,-53.78,0.87
77.26,-53.43,0.87
76.73,-53.08,1.22
76.38,-52.73,1.22
76.03,-52.38,1.22
75.51,-52.03,1.57
74.98,-51.68,1.22
74.63,-51.33,1.22
74.11,-50.98,1.57
73.76,-50.63,1.57
73.41,-50.28,1.57
72.89,-49.93,1.92
72.54,-49.58,1.92
72.19,-49.23,1.92
71.66,-48.88,2.27
71.31,-48.54,2.27
70.96,-48.19,2.27
70.44,-47.84,2.62
70.09,-47.49,2.62
69.56,-47.14,2.27
69.21,-46.79,2.27
68.69,-46.44,2.62
68.34,-46.09,2.62
67.99,-45.74,2.62
67.46,-45.39,2.97
67.11,-45.04,2.97
66.76,-44.69,2.97
66.24,-44.34,3.32
65.89,-43.99,3.32
65.54,-43.64,3.32
65.02,-43.29,3.67
64.67,-42.94,3.67
64.14,-42.59,3.32
63.62,-42.24,3.67
63.27,-41.89,3.67
62.92,-41.54,3.67
62.39,-41.19,4.02
62.04,-40.84,4.02
61.69,-40.49,4.02
61.17,-40.14,4.37
60.82,-39.79,4.37
60.47,-39.44,4.37
59.94,-39.09,4.72
59.59,-38.74,4.72
59.24,-38.39,4.72
58.72,-38.04,4.37
58.37,-37.69,4.37
58.02,-37.34,4.37
57.67,-36.99,4.37
57.32,-36.64,4.37
56.97,-36.29,4.37
56.62,-35.94,4.37
56.27,-35.59,4.37
55.92,-35.24,4.37
55.57,-34.89,4.37
55.22,-34.54,4.37
54.87,-34.19,4.37
54.52,-33.84,4.37
54.00,-33.50,4.02
53.65,-33.15,4.02
53.30,-32.80,4.02
52.77,-32.45,4.37
52.42,-32.10,4.37
52.07,-31.75,4.37
51.72,-31.40,4.37
51.37,-31.05,4.37
51.02,-30.70,4.37
50.67,-30.35,4.37
50.32,-30.00,4.37
49.97,-29.65,4.37
49.62,-29.30,4.37
49.10,-28.95,4.02
48.75,-28.60,4.02
48.40,-28.25,4.02
48.05,-27.90,4.02
47.70,-27.55,4.02
47.35,-27.20,4.02
47.00,-26.85,4.02
46.65,-26.50,4.02
46.30,-26.15,4.02
45.95,-25.80,4.02
45.60,-25.45,4.02
45.25,-25.10,4.02
44.90,-24.75,4.02
44.55,-24.40,4.02
44.03,-24.05,3.67
43.68,-23.70,3.67
43.33,-23.35,3.67
42.98,-23.00,3.67
42.63,-22.65,3.67
42.28,-22.30,3.67
41.93,-21.95,3.67
41.58,-21.60,3.67
41.23,-21.25,3.67
40.70,-20.90,4.02
40.35,-20.55,4.02
40.00,-20.20,4.02
39.66,-19.85,4.02
39.13,-19.50,3.67
38.78,-19.15,3.67
38.43,-18.81,3.67
38.08,-18.46,3.67
37.73,-18.11,3.67
37.38,-17.76,3.67
37.03,-17.41,3.67
36.68,-17.06,3.67
36.33,-16.71,3.67
35.98,-16.36,3.67
35.63,-16.01,3.67
35.28,-15.66,3.67
34.93,-15.31,3.67
34.41,-14.96,3.32
34.06,-14.61,3.32
33.71,-14.26,3.32
33.36,-13.91,3.32
33.01,-13.56,3.32
32.66,-13.21,3.32
32.31,-12.86,3.32
31.96,-12.51,3.32
31.61,-12.16,3.32
31.26,-11.81,3.32
30.91,-11.46,3.32
30.56,-11.11,3.32
30.21,-10.76,3.32
29.68,-10.41,2.97
29.34,-10.06,2.97
28.99,-9.71,2.97
28.46,-9.36,3.32
28.11,-9.01,3.32
27.76,-8.66,3.32
27.41,-8.31,3.32
27.06,-7.96,3.32
26.71,-7.61,3.32
26.36,-7.26,3.32
26.01,-6.91,3.32
25.66,-6.57,3.32
25.31,-6.22,3.32
24.79,-5.87,2.97
24.44,-5.52,2.97
24.09,-5.17,2.97
23.74,-4.82,2.97
23.39,-4.47,2.97
23.04,-4.12,2.97
22.69,-3.77,2.97
22.43,-3.42,2.80
22.16,-3.07,2.62
21.90,-2.72,2.45
21.64,-2.37,2.27
21.38,-2.02,2.10
21.11,-1.67,1.92
20.68,-1.32,1.40
20.41,-0.97,1.22
20.15,-0.62,1.05
19.89,-0.27,0.87
19.63,0.08,0.70
19.45,0.43,0.35
