depth_mm,lateral_mm,diameter_mm
107.02,7.26,0.00
106.94,7.61,0.51
106.85,7.95,1.03
106.59,8.29,1.88
106.51,8.63,2.40
106.51,8.97,3.08
106.42,9.32,3.59
106.33,9.66,4.11
106.08,10.00,4.96
105.99,10.34,5.48
105.90,10.69,5.99
105.56,11.03,5.99
105.22,11.37,5.99
104.70,11.71,6.33
104.19,12.05,5.99
103.84,12.40,5.99
103.50,12.74,5.99
103.16,13.08,5.99
102.64,13.42,6.33
102.13,13.77,5.99
101.78,14.11,5.99
101.44,14.45,5.99
101.10,14.79,5.99
100.58,15.13,6.33
100.24,15.48,6.33
99.73,15.82,5.99
99.38,16.16,5.99
99.04,16.50,5.99
98.52,16.84,6.33
98.18,17.19,6.33
97.67,17.53,5.99
97.32,17.87,5.99
96.98,18.21,5.99
96.47,18.55,6.33
96.12,18.90,6.33
95.78,19.24,6.33
95.27,19.58,5.99
94.92,19.92,5.99
94.41,20.26,6.33
94.06,20.61,6.33
93.72,20.95,6.33
93.38,21.29,6.33
92.86,21.63,5.99
92.52,21.97,5.99
92.01,22.31,6.33
91.66,22.66,6.33
91.32,23.00,6.33
90.81,23.34,5.99
90.46,23.68,5.99
89.95,24.02,6.33
89.60,24.37,6.33
89.26,24.71,6.33
88.92,25.05,6.33
88.40,25.39,5.99
87.89,25.73,6.33
87.55,26.07,6.33
87.20,26.42,6.33
86.86,26.76,6.33
86.35,27.10,5.99
85.83,27.44,6.33
85.49,27.78,6.33
85.14,28.13,6.33
84.80,28.47,6.33
84.46,28.81,6.33
83.77,29.15,6.33
83.43,29.49,6.33
83.09,29.83,6.33
82.74,30.18,6.33
82.40,30.52,6.33
81.71,30.86,6.33
81.37,31.20,6.33
81.03,31.54,6.33
80.68,31.88,6.33
80.34,32.22,6.33
79.83,32.57,6.68
79.31,32.91,6.33
78.97,33.25,6.33
78.63,33.59,6.33
78.28,33.93,6.33
77.94,34.27,6.33
77.43,34.62,6.68
76.91,34.96,6.33
76.57,35.30,6.33
76.23,35.64,6.33
75.88,35.98,6.33
75.37,36.32,6.68
74.85,36.66,6.33
74.51,37.01,6.33
74.17,37.35,6.33
73.83,37.69,6.33
73.31,38.03,6.67
72.97,38.37,6.67
72.45,38.71,6.33
72.11,39.05,6.33
71.77,39.39,6.33
71.25,39.74,6.67
70.91,40.08,6.67
70.40,40.42,6.33
70.05,40.76,6.33
69.71,41.10,6.33
69.20,41.44,6.67
68.85,41.78,6.67
68.51,42.12,6.67
68.00,42.46,6.33
67.65,42.81,6.33
67.14,43.15,6.67
66.80,43.49,6.67
66.45,43.83,6.67
65.94,44.17,6.33
65.60,44.51,6.33
65.08,44.85,6.67
64.74,45.19,6.67
64.40,45.53,6.67
64.05,45.88,6.67
63.54,46.22,6.33
63.03,46.56,6.67
62.68,46.90,6.67
62.34,47.24,6.67
62.00,47.58,6.67
61.74,47.92,6.50
61.57,48.26,5.48
61.57,48.60,4.79
61.57,48.95,4.11
61.57,49.29,3.42
61.57,49.63,2.74
61.40,49.97,1.71
61.39,50.31,1.03
61.39,50.65,0.34
