Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance
0,0.409097048,0.290047608,0.000484805,165.2039001
1,0.236339479,0.259895466,0.019921387,60.63730333
2,0.228383631,0.241845053,0.200961575,82.18045175
3,0.221064999,0.222334582,0.391136214,56.15392685
4,0.217092073,0.216557067,0.560145634,34.27644614
5,0.217366189,0.22023711,0.544037892,42.82324346
6,0.213981571,0.218273733,0.67195949,42.35646483
7,0.213422143,0.226693448,0.658789154,96.69022072
8,0.216489948,0.217182036,0.711824665,61.32635038
9,0.208039507,0.213734653,0.702196502,30.712001
10,0.208197869,0.210101198,0.714302107,21.55283532
11,0.207020787,0.209852304,0.751352278,22.22899301
12,0.206083799,0.209336754,0.743275332,20.6745418
13,0.205976943,0.208253849,0.750327942,22.5184589
14,0.205960107,0.209592767,0.72183899,24.56438927
15,0.205496725,0.210877232,0.704073652,32.0801146
16,0.205537493,0.210116051,0.735821665,24.9020399
17,0.204903565,0.209159758,0.753858791,29.14171407
18,0.204722651,0.209023677,0.757030838,25.60041406
19,0.204884249,0.209058855,0.769779516,23.08435661
20,0.204115038,0.210203789,0.752321453,29.56401867
21,0.2039048,0.209213942,0.779910303,28.26785526
22,0.203564079,0.209765423,0.758086459,28.02453685
23,0.203598553,0.20907129,0.779570804,29.83053608
24,0.204014183,0.20908476,0.759234464,28.75828853
25,0.20371412,0.208727155,0.764699541,30.22025434
26,0.203553127,0.208828319,0.744727849,27.913265
27,0.203625313,0.208171446,0.758692756,26.43681791
28,0.203299088,0.20823887,0.757834264,27.27128876
29,0.203483366,0.208078519,0.769854509,27.12607778
30,0.225040713,0.208360806,0.764993478,29.74838767
31,0.216595199,0.213378396,0.746508406,25.78942315
32,0.205851158,0.214310441,0.70065597,32.0126357
33,0.206730385,0.211427547,0.753577677,33.60992517
34,0.204071035,0.208970945,0.771959098,31.35721348
35,0.203829807,0.208779685,0.765059645,27.59613596
36,0.203756228,0.208944917,0.751156671,28.92137699
37,0.20406056,0.208994988,0.756058476,28.86955814
38,0.204106309,0.209297061,0.752883772,29.17263163
39,0.204112859,0.209590577,0.749761281,29.3681052
40,0.203526812,0.20876829,0.754655769,26.74394981
41,0.203740809,0.208681636,0.758458538,28.90631495
42,0.204158507,0.208809245,0.760010593,26.31014374
43,0.203676553,0.208529204,0.769160498,26.36916992
44,0.204229015,0.208717637,0.756660546,28.80351109
45,0.203539794,0.208735891,0.761198413,28.59995171
46,0.203376209,0.208737075,0.764831996,28.45014231
47,0.207053546,0.208948053,0.745870322,29.01909359
48,0.203688214,0.208620597,0.756962845,28.59091608
49,0.203512741,0.208857644,0.75598227,28.91013063
