Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance,max dice,min hausdorff,weights saved
0,0.265841696,0.124388696,0.39306087,73.24906727,0.39306087,73.24906727,Yes
1,0.091663826,0.067692816,0.441834148,20.38211835,0.441834148,20.38211835,Yes
2,0.056519821,0.048118736,0.477112413,26.33109647,0.477112413,20.38211835,Yes
3,0.040479863,0.034167602,0.671296856,17.40206574,0.671296856,17.40206574,Yes
4,0.031110852,0.028172592,0.760090628,14.04349966,0.760090628,14.04349966,Yes
5,0.025393326,0.023363334,0.765073688,10.2432841,0.765073688,10.2432841,Yes
6,0.02039735,0.019203847,0.78202966,9.906823194,0.78202966,9.906823194,Yes
7,0.016984236,0.016914977,0.813416566,11.28113195,0.813416566,9.906823194,Yes
8,0.014804195,0.014951651,0.816082558,11.6080893,0.816082558,9.906823194,Yes
9,0.012783665,0.012697904,0.839051242,12.09173496,0.839051242,9.906823194,Yes
10,0.011570759,0.011862138,0.819644496,10.3784092,0.839051242,9.906823194,
11,0.010253296,0.011087656,0.833659356,11.72465689,0.839051242,9.906823194,
12,0.009533251,0.009760398,0.831691905,8.046550915,0.839051242,8.046550915,Yes
13,0.00831403,0.009255422,0.838418733,7.581206615,0.839051242,7.581206615,Yes
14,0.007529844,0.008170014,0.849093829,7.63057087,0.849093829,7.581206615,Yes
15,0.007117723,0.009126015,0.840113061,7.587092895,0.849093829,7.581206615,
16,0.00662071,0.008083296,0.84462381,8.683623166,0.849093829,7.581206615,
17,0.006196292,0.008425202,0.817891876,8.116379149,0.849093829,7.581206615,
18,0.005969561,0.007208788,0.8475141,8.826221968,0.849093829,7.581206615,
19,0.006386431,0.008150685,0.820893484,8.76252432,0.849093829,7.581206615,
20,0.005925325,0.00708014,0.842968509,8.28207256,0.849093829,7.581206615,
21,0.005347011,0.006260838,0.856836226,6.938062206,0.856836226,6.938062206,Yes
22,0.004965239,0.006230705,0.855502526,6.982617735,0.856836226,6.938062206,
23,0.005438178,0.007042998,0.829879867,8.513932541,0.856836226,6.938062206,
24,0.004885232,0.006683688,0.824795117,7.443371391,0.856836226,6.938062206,
25,0.004232213,0.006153874,0.848847088,6.72937773,0.856836226,6.72937773,Yes
26,0.00392954,0.006176401,0.850260459,6.537896952,0.856836226,6.537896952,Yes
27,0.003737882,0.006220352,0.846999407,7.019522835,0.856836226,6.537896952,
28,0.00365718,0.005951802,0.854992772,8.447354427,0.856836226,6.537896952,
29,0.00343959,0.005989217,0.857331542,6.333426479,0.857331542,6.333426479,Yes
