Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance
0,0.07148563762217067,0.035439785793423655,0.0,inf
1,0.029472294588421665,0.0232062229514122,0.0,inf
2,0.023912044740173707,0.02090775068849325,0.41062602196272807,16.933474998708114
3,0.019307575805849114,0.017935466021299362,0.4808373279274278,13.229297528215767
4,0.0145050268078786,0.011732484195381403,0.6237234532372239,10.900391911125725
5,0.012823507980291927,0.011164805330336093,0.6483223195350969,11.683399852974949
6,0.0114075634357801,0.010609761103987694,0.6522507132943144,10.59445844047511
7,0.009391723449753468,0.010928764753043652,0.7151500970586059,9.50523435428251
8,0.008731365133466762,0.010309419948607684,0.7212979777418461,9.235182636540799
9,0.009179991859466184,0.009098601751029492,0.7104558479232886,7.7438809851242985
10,0.008222494122767172,0.009700962454080581,0.7065385411656702,8.527047933888232
11,0.007395744364340465,0.008116415571421384,0.7697504015312981,8.44396643531292
12,0.006823183573392588,0.010693322252482176,0.7310741375555697,7.969616601519065
13,0.006730454351189871,0.009271103274077177,0.7693547227026261,9.153441689918106
14,0.006850792912679703,0.008706139326095581,0.7601400669568132,8.657170645048977
15,0.006751839753760155,0.00891880102455616,0.7536547273090205,8.719002612719484
16,0.006349299132802286,0.009356725439429283,0.7546906713204286,7.906431978521721
17,0.0060174128522576635,0.008009378015995026,0.770201039990199,8.163970694699062
18,0.0054214337088037716,0.007234271578490734,0.7972933565525665,7.28245264724763
19,0.00571830123446362,0.008212923668324948,0.7503343783126971,8.269804072303566
20,0.005439035388706035,0.0077211568504571915,0.7897388924335697,7.248338354732284
21,0.005502308364199518,0.008979658018797637,0.7386891270037165,8.858949592233742
22,0.0051805428960252295,0.009467110447585582,0.7661416782738314,8.721592351028326
23,0.004898641169136173,0.009059943910688161,0.7986879453984732,8.396135063288158
24,0.004790338725501368,0.008294887961819769,0.8069452174852804,8.452043255082
25,0.0046363985409613616,0.007771505368873477,0.8035669253812623,7.697306367161811
26,0.006036287966877395,0.00934022270143032,0.7585994427274797,7.6998283090230455
27,0.005154098587132297,0.008675816021859645,0.7949034050875103,8.335107602764806
28,0.005345463563233267,0.007992831049486995,0.8085027587475236,7.226045534886505
29,0.004071729341630153,0.008532032985240221,0.8119199889683232,7.946337837040072
