Epoch,Train Loss,Val Loss,Dice Score
0,0.4131652176380157,0.7290202975273132,0.0
1,0.24747821787993113,0.2543535977602005,0.0918960019480437
2,0.23580242991447448,0.2500172518193722,0.21399198891958804
3,0.22354405919710796,0.23279741406440735,0.3951385705440771
4,0.21583518385887146,0.21647660806775093,0.577758741506841
5,0.21969370444615682,0.4016393721103668,0.22430297825485468
6,0.21600969433784484,0.2246338464319706,0.4456497336796019
7,0.2143361449241638,0.21326542273163795,0.6562061980366707
8,0.21037610570589702,0.2155100330710411,0.64911536173895
9,0.20901924073696138,0.21213829144835472,0.7121289372444153
10,0.20981481671333313,0.23015142604708672,0.642124364618212
11,0.2094579835732778,0.2107880860567093,0.7630901136435568
12,0.2092183232307434,0.21053411066532135,0.7357498528435826
13,0.20805803736050923,0.21104083210229874,0.7034039413847495
14,0.20714908440907795,0.2205566205084324,0.7086226586252451
15,0.20585732062657675,0.20930247753858566,0.7328297028434463
16,0.20668217937151592,0.21097519621253014,0.7603911012411118
17,0.20524460971355438,0.20912692695856094,0.803694867528975
18,0.21054971913496653,0.20915770530700684,0.7501363859046251
19,0.218361962834994,0.21980797871947289,0.620453433599323
20,0.21290161311626435,0.22196360304951668,0.5214995407586684
21,0.21037798821926118,0.21493159979581833,0.6598254007985815
22,0.21353927354017893,0.2103847824037075,0.7396787366596982
23,0.21280282040437062,0.21581878140568733,0.7264502230100334
24,0.20836379528045654,0.21266749128699303,0.6974582988768816
