Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance
0,0.283643682,0.315423973,0,105.0047618
1,0.23428821,0.267524466,0.011190425,106.6713187
2,0.225041812,0.224649336,0.016691526,67.1416929
3,0.220089991,0.22106237,0.021639165,70.69175547
4,0.219240374,0.215246662,0.008122445,89.42844668
5,0.21747493,0.216248348,0.012927947,64.9131373
6,0.216940094,0.215219885,0.00831877,58.26603314
7,0.214820753,0.214618322,0.024951561,53.85811433
8,0.227656878,0.217975121,0.028757274,60.46519267
9,0.219217218,0.231916197,0.618770928,58.74261876
10,0.219878801,0.216115598,0.590578989,33.27937523
11,0.216344472,0.214457855,0.684318906,31.32067687
12,0.220119225,0.213549629,0.625949945,25.88427394
13,0.215422347,0.213349536,0.74106346,20.54155236
14,0.215167481,0.212637328,0.685873307,23.4046886
15,0.21275732,0.211195249,0.717854528,14.83592494
16,0.212598639,0.213066,0.709909693,25.58135977
17,0.21457258,0.211563218,0.68291943,15.20755453
18,0.211959849,0.211168189,0.71810498,15.315863
19,0.211487255,0.211314384,0.674021953,20.077315
20,0.211774418,0.210746862,0.716273847,15.35575467
21,0.210751503,0.210673857,0.740390001,15.19721112
22,0.213093339,0.210250273,0.76305424,14.77120787
23,0.211085314,0.211435936,0.760409998,25.36824892
24,0.210626294,0.212047305,0.737252492,23.4475827
25,0.210956754,0.211994439,0.690369632,21.94444471
26,0.209703762,0.211745832,0.725512674,22.1943303
27,0.20951667,0.211294401,0.75064354,21.26792444
28,0.209532275,0.211580727,0.736824234,21.15747601
29,0.209605614,0.211363584,0.743092787,21.15722748
30,0.209434088,0.210808527,0.737296015,20.6505646
31,0.211630948,0.210623391,0.755706941,20.52609246
32,0.209170053,0.210969564,0.738875166,21.0436227
33,0.209224811,0.210563067,0.769609666,20.12109666
34,0.209539474,0.210604202,0.759988038,22.38333084
35,0.209093146,0.210978288,0.759261517,22.1985717
36,0.209216269,0.21078787,0.760023084,19.18521962
37,0.210208669,0.21035853,0.763876577,18.37775319
38,0.209327655,0.210952077,0.744972828,19.96659649
39,0.20918625,0.210171096,0.757156632,15.59502751
40,0.209013946,0.210072372,0.770057637,16.48685684
41,0.211203496,0.210226122,0.763440302,17.04765922
42,0.209290177,0.210346401,0.757399445,19.61470141
43,0.209602869,0.21029776,0.755928376,18.96144313
44,0.209063584,0.210238609,0.755387957,18.79360319
45,0.211742854,0.210194491,0.764709082,15.85092156
46,0.209101998,0.211221471,0.759019446,20.45074386
47,0.209127803,0.211758524,0.733741612,21.07975465
48,0.211273481,0.211560491,0.738565881,20.89252819
49,0.209698184,0.211778514,0.732742087,21.45177278
