Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance,max dice,min hausdorff,weights saved
0,0.218884995,0.108656221,0.593151511,62.70013947,0.593151511,62.70013947,Yes
1,0.080014541,0.081759602,0.539828558,20.04341363,0.593151511,20.04341363,Yes
2,0.047082242,0.037864764,0.818368757,8.872604951,0.818368757,8.872604951,Yes
3,0.032283901,0.029252144,0.822436244,7.263106133,0.822436244,7.263106133,Yes
4,0.024242143,0.021226253,0.840469584,6.645771066,0.840469584,6.645771066,Yes
5,0.019583894,0.018875403,0.806938803,7.72517624,0.840469584,6.645771066,
6,0.01578661,0.015070547,0.844489121,7.727004678,0.844489121,6.645771066,Yes
7,0.013131014,0.013054379,0.840305733,6.475868064,0.844489121,6.475868064,Yes
8,0.011595886,0.012238029,0.850351492,7.7792738,0.850351492,6.475868064,Yes
9,0.010131676,0.011064321,0.851661398,6.716695109,0.851661398,6.475868064,Yes
10,0.008967976,0.00971538,0.837905613,6.803831953,0.851661398,6.475868064,
11,0.007900895,0.00930461,0.851875723,8.015975514,0.851875723,6.475868064,Yes
12,0.007250884,0.008816033,0.850575056,6.856446584,0.851875723,6.475868064,
13,0.006602549,0.008229202,0.84837489,7.565005325,0.851875723,6.475868064,
14,0.005915496,0.007259757,0.861315295,6.127988651,0.861315295,6.127988651,Yes
15,0.005486616,0.007562338,0.851067793,8.019500075,0.861315295,6.127988651,
16,0.005192404,0.006901198,0.857851597,6.581917049,0.861315295,6.127988651,
17,0.005887053,0.007646432,0.839579856,11.12120153,0.861315295,6.127988651,
18,0.005884111,0.007928584,0.829367302,7.113742237,0.861315295,6.127988651,
19,0.004858391,0.006406402,0.850295734,7.215046073,0.861315295,6.127988651,
20,0.004166346,0.006665501,0.845153599,7.342771773,0.861315295,6.127988651,
21,0.00382167,0.006353925,0.847196306,7.011394628,0.861315295,6.127988651,
22,0.003460847,0.006144881,0.862436465,7.825336126,0.862436465,6.127988651,Yes
23,0.003244897,0.006146372,0.854847576,6.13022547,0.862436465,6.127988651,
24,0.003088787,0.006010185,0.859550684,7.235330369,0.862436465,6.127988651,
25,0.002934322,0.006383427,0.850220089,6.947928774,0.862436465,6.127988651,
26,0.002842307,0.006490029,0.861894157,7.914378632,0.862436465,6.127988651,
27,0.002654597,0.006888733,0.839497094,8.176684988,0.862436465,6.127988651,
28,0.002657618,0.006303832,0.860418262,7.285223461,0.862436465,6.127988651,
29,0.002484112,0.008404821,0.849120362,8.400828783,0.862436465,6.127988651,
