Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance,max dice,min hausdorff,weights saved
0,0.334611123,0.164313972,0.57684557,172.7753192,0.57684557,172.7753192,Yes
1,0.125987812,0.098439569,0.747134966,39.03491345,0.747134966,39.03491345,Yes
2,0.076007247,0.060329387,0.811608428,8.904670028,0.811608428,8.904670028,Yes
3,0.051977619,0.042441215,0.836143991,12.67682965,0.836143991,8.904670028,Yes
4,0.037634899,0.033229167,0.823277121,11.9159741,0.836143991,8.904670028,
5,0.028468257,0.025139577,0.842041059,7.816710433,0.842041059,7.816710433,Yes
6,0.022502431,0.020990547,0.831824918,7.876738458,0.842041059,7.816710433,
7,0.018384165,0.019137209,0.820300761,10.15313736,0.842041059,7.816710433,
8,0.015373464,0.015278771,0.844190971,7.212061109,0.844190971,7.212061109,Yes
9,0.013356103,0.014733445,0.814221991,8.057642538,0.844190971,7.212061109,
10,0.011655658,0.011928565,0.843391149,10.38511466,0.844190971,7.212061109,
11,0.010498064,0.011329875,0.840249537,7.024193265,0.844190971,7.024193265,Yes
12,0.009069896,0.010343041,0.846143102,7.920670597,0.846143102,7.024193265,Yes
13,0.007956575,0.009740785,0.84696961,8.259352813,0.84696961,7.024193265,Yes
14,0.007407635,0.009115706,0.856918769,8.062324141,0.856918769,7.024193265,Yes
15,0.006961174,0.008855143,0.84182094,7.218956935,0.856918769,7.024193265,
16,0.006118523,0.008859171,0.849679771,8.500967258,0.856918769,7.024193265,
17,0.005606243,0.00919351,0.836619559,13.69320301,0.856918769,7.024193265,
18,0.006699144,0.009133939,0.796456033,11.76248664,0.856918769,7.024193265,
19,0.006664365,0.00811192,0.823229229,8.140073698,0.856918769,7.024193265,
20,0.005497933,0.007184614,0.84860331,8.83811252,0.856918769,7.024193265,
21,0.005438876,0.007394716,0.82784392,8.148221383,0.856918769,7.024193265,
22,0.004505929,0.00743827,0.838425336,7.815840362,0.856918769,7.024193265,
23,0.004083853,0.006423755,0.856879663,7.922840618,0.856918769,7.024193265,
24,0.00388027,0.006557714,0.861347059,7.408975702,0.861347059,7.024193265,Yes
25,0.003744808,0.006624358,0.857915401,8.455437102,0.861347059,7.024193265,
26,0.003353939,0.006874269,0.854622785,9.09280592,0.861347059,7.024193265,
27,0.003097329,0.00669314,0.858519175,10.17639424,0.861347059,7.024193265,
28,0.002943528,0.006778146,0.853702706,8.156125879,0.861347059,7.024193265,
29,0.002759783,0.006602816,0.859341598,9.798719743,0.861347059,7.024193265,
