Epoch,Train Loss,Val Loss,Dice Score
0,0.49074082175890604,0.42979083210229874,0.02316605838132091
1,0.24901935160160066,0.39855511486530304,0.10574181887204759
2,0.23912742833296458,0.2966122403740883,0.21501633524894714
3,0.2305527836084366,0.22923901677131653,0.178642970189685
4,0.224843434492747,0.22614644840359688,0.28063151822425425
5,0.22032509446144105,0.22085073962807655,0.4020275085931644
6,0.21722257137298584,0.21788034960627556,0.4951543747447431
7,0.21333540578683216,0.2162148840725422,0.5573764871805906
8,0.21080123782157897,0.2167118713259697,0.6603065161034465
9,0.2134148508310318,0.21343252435326576,0.6147117249201983
10,0.21702551146348317,0.21720536425709724,0.5340421228902414
11,0.22399750153223674,0.22766179218888283,0.6005870576482266
12,0.2243462820847829,0.3335688039660454,0.23707284355805314
13,0.21677320996920268,0.21826503425836563,0.39704924865509383
14,0.21689049104849498,0.21629055961966515,0.6033423523185775
15,0.2105717182159424,0.21263748034834862,0.6118067814968526
16,0.20915197531382243,0.2103487178683281,0.706663797609508
17,0.2080095241467158,0.20996463671326637,0.7167484915116802
18,0.2075209339459737,0.2128681167960167,0.6513013933290495
19,0.20756057103474934,0.20822440460324287,0.751082758884877
20,0.2078494648138682,0.20954084023833275,0.7349460599943995
21,0.22442348500092824,0.20932957902550697,0.7504186739679426
22,0.21381830275058747,0.24691380560398102,0.47565714543452486
23,0.21036414404710133,0.2168750986456871,0.6756982440128922
24,0.20750121374924976,0.21256448701024055,0.7316299499943852
25,0.20854947765668233,0.2137075923383236,0.6949976259493269
26,0.20943341553211212,0.21504876390099525,0.6214169529266655
27,0.20708901484807332,0.21248523890972137,0.7286298479884863
28,0.20648372570673626,0.2128598317503929,0.7329936913447455
29,0.20605383515357972,0.20996029675006866,0.730074126389809
30,0.20579908390839893,0.20904101431369781,0.7387243730481714
31,0.20551448663075764,0.2082584835588932,0.7614300237037241
32,0.2059346298376719,0.20839513465762138,0.7598753836937249
33,0.20519458850224812,0.20830994099378586,0.7585401372052729
34,0.20641230742136638,0.20880502834916115,0.7582986718043685
35,0.2050051321585973,0.21020125597715378,0.7409366993233562
36,0.2052055408557256,0.21002643182873726,0.738329786574468
37,0.2124420831600825,0.21089763194322586,0.7284288604278117
38,0.20558687249819438,0.2095588818192482,0.7360094510368071
39,0.2055412809054057,0.20915263891220093,0.7412883055148995
40,0.20502742926279705,0.2089616395533085,0.7478261757642031
41,0.2058636983235677,0.2097940668463707,0.7234826586063718
42,0.20509147743384043,0.20884689688682556,0.7480308517115191
43,0.20513382256031037,0.20890578255057335,0.7512636787141673
44,0.20718011061350505,0.2088513784110546,0.7445128284743987
45,0.20503789285818735,0.2089759260416031,0.7517395135946572
46,0.2053483595450719,0.20899143815040588,0.7454568938119337
47,0.20484785636266073,0.20890165865421295,0.7509989719837904
48,0.20491789281368256,0.20871737971901894,0.7491772770881653
49,0.20490356882413227,0.20833971351385117,0.7617488402756862
