Epoch,Train Loss,Val Loss,Dice Score,Hausdorff Distance
0,0.354597149,0.282152884,0.040802409,214.6857839
1,0.237614136,0.233630553,0.186206834,56.23280217
2,0.225642829,0.22104717,0.363175549,40.44704771
3,0.218923842,0.217359681,0.552059555,29.14284775
4,0.215054783,0.217551742,0.58296713,27.69104972
5,0.212609594,0.222225718,0.598736888,35.23322239
6,0.218956108,0.21621266,0.614916502,69.93018806
7,0.211731085,0.211381547,0.560564015,29.02996566
8,0.210930109,0.209390525,0.632266058,25.81124074
9,0.208369741,0.206803676,0.736065396,24.74063765
10,0.208982054,0.211154826,0.67557539,37.95027862
11,0.207815161,0.207878824,0.692395626,18.8779575
12,0.209098793,0.207653157,0.724262507,35.537954
13,0.208862002,0.214167647,0.629452904,40.1891318
14,0.208392625,0.223788824,0.608252585,32.2899885
15,0.209194806,0.206635848,0.698664476,20.51327088
16,0.20774458,0.207176436,0.754459975,21.66009739
17,0.20942941,0.225405,0.6423906,51.43359887
18,0.209332592,0.206365298,0.732961693,13.95774942
19,0.20689826,0.206408918,0.720072151,20.07179967
20,0.20556614,0.206235297,0.754549498,25.28878049
21,0.20560135,0.207369581,0.721963751,23.68340593
22,0.205962005,0.205531571,0.770663124,17.39319347
23,0.207131153,0.206738614,0.74919628,24.10349321
24,0.206069735,0.205283288,0.782020565,14.61494013
25,0.204898422,0.204886738,0.764857342,16.32414597
26,0.227787678,0.205914214,0.75792191,17.92060049
27,0.217194149,0.212072082,0.652707235,38.13243908
28,0.210035274,0.208334994,0.708266957,19.9316953
29,0.207664299,0.207225941,0.712666362,22.17727625
30,0.206743184,0.205792598,0.728565201,18.28801311
31,0.207057973,0.206938427,0.746621789,23.91819714
32,0.205665743,0.205455799,0.737957063,19.08273519
33,0.206597613,0.207354009,0.744867407,19.09752156
34,0.205271219,0.206608783,0.683550695,24.98828644
35,0.20497401,0.205347367,0.758380764,20.55874135
36,0.207676107,0.205396105,0.743342297,21.12662943
37,0.20523209,0.207034912,0.722554957,29.14298993
38,0.205253378,0.206278611,0.751588693,27.68509275
39,0.204745215,0.205690932,0.757475625,27.98116565
40,0.204119238,0.205453973,0.774220376,20.98933484
41,0.204218203,0.205523904,0.768779458,21.36879276
42,0.204322926,0.205529954,0.765907991,23.3257823
43,0.204051291,0.205348168,0.758100913,20.62446473
44,0.203898347,0.205502354,0.761833498,22.62186178
45,0.204399844,0.20564653,0.754167288,23.03674915
46,0.204367097,0.205522168,0.772258842,23.05946426
47,0.2042095,0.205351446,0.753167372,20.4916067
48,0.203820401,0.205334149,0.745921704,22.12736178
49,0.203839347,0.205413934,0.76105413,20.76727843
