Image Name,Conversion Factor (cm/pixel),Top Row (px),Bottom Row (px),Top Row (cm),Bottom Row (cm)
2mm btm a_speckled_pseudolabel.png,0.6388274336283183,58,132,37.05,84.33
2mm btm b_speckled_pseudolabel.png,0.6503378378378378,79,131,51.38,85.19
2mm btm c_speckled_pseudolabel.png,0.6445055607176203,72,117,46.40,75.41
2mm btm d_speckled_pseudolabel.png,0.6445055607176209,69,133,44.47,85.72
2mm top a_speckled_pseudolabel.png,0.6445312500000001,69,119,44.47,76.70
2mm top b_speckled_pseudolabel.png,0.6445312500000001,79,118,50.92,76.05
2mm top c_speckled_pseudolabel.png,0.6503114480053016,72,117,46.82,76.09
2mm top d_speckled_pseudolabel.png,0.6388024203181961,76,125,48.55,79.85
3mm btm a_speckled_pseudolabel.png,0.721875,66,151,47.64,109.00
3mm btm b_speckled_pseudolabel.png,0.7146926931095622,48,144,34.31,102.92
3mm btm c_speckled_pseudolabel.png,0.7076865787401768,59,160,41.75,113.23
3mm btm d_speckled_pseudolabel.png,0.7146926931095625,104,171,74.33,122.21
3mm top a_speckled_pseudolabel.png,0.6445312500000001,52,130,33.52,83.79
3mm top b_speckled_pseudolabel.png,0.6388024203181963,51,134,32.58,85.60
3mm top c_speckled_pseudolabel.png,0.6388024203181961,55,124,35.13,79.21
3mm top d_speckled_pseudolabel.png,0.6388024203181963,50,129,31.94,82.41
4mm btm a_speckled_pseudolabel.png,0.7146926931095625,53,183,37.88,130.79
4mm btm b_speckled_pseudolabel.png,0.7075845796651452,53,167,37.50,118.17
4mm btm c_speckled_pseudolabel.png,0.7147277227722774,54,193,38.60,137.94
4mm btm d_speckled_pseudolabel.png,0.707720588235294,66,174,46.71,123.14
4mm top a_speckled_pseudolabel.png,0.7217306682980676,37,124,26.70,89.49
4mm top b_speckled_pseudolabel.png,0.7076865787401768,28,126,19.82,89.17
4mm top c_speckled_pseudolabel.png,0.7147277227722774,36,125,25.73,89.34
4mm top d_speckled_pseudolabel.png,0.7145876350165664,28,108,20.01,77.18
6mm btm a_speckled_pseudolabel.png,0.9375000000000003,55,164,51.56,153.75
6mm btm b_speckled_pseudolabel.png,0.9137658227848099,53,163,48.43,148.94
6mm btm c_speckled_pseudolabel.png,0.9498355263157896,53,170,50.34,161.47
6mm btm d_speckled_pseudolabel.png,0.9495068066221535,66,168,62.67,159.52
6mm top a_speckled_pseudolabel.png,0.9374209494496679,11,103,10.31,96.55
6mm top b_speckled_pseudolabel.png,0.9497533143862357,12,121,11.40,114.92
6mm top c_speckled_pseudolabel.png,0.9374999999999999,11,114,10.31,106.87
6mm top d_speckled_pseudolabel.png,0.9498355263157896,12,120,11.40,113.98
8mm btm a_speckled_pseudolabel.png,0.9254807692307693,48,179,44.42,165.66
8mm btm b_speckled_pseudolabel.png,0.9495068066221535,71,184,67.41,174.71
8mm btm c_speckled_pseudolabel.png,0.9497533143862362,66,184,62.68,174.75
8mm btm d_speckled_pseudolabel.png,0.9374209494496679,50,176,46.87,164.99
8mm top a_speckled_pseudolabel.png,0.9254807692307693,3,118,2.78,109.21
8mm top b_speckled_pseudolabel.png,0.9624999999999999,4,122,3.85,117.42
8mm top c_speckled_pseudolabel.png,0.9498355263157896,4,113,3.80,107.33
8mm top d_speckled_pseudolabel.png,0.9495068066221529,4,118,3.80,112.04
